;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
gr500um_ML3_(0-5)_001;0;Fragment;weiß;x;x;verloren;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_002;1;Faser;blau;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_003;1;Faser;beige;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_004;1;Faser;blau;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_005;1;Fragment;beige;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_006;1;Faser;weiß;PET;1;;Hannah;14.07.2020;2347;26
gr500um_ML3_(0-5)_007;1;Fragment;weiß;PE;1;;Hannah;14.07.2020;213;152
gr500um_ML3_(0-5)_008;1;Faser;weiß;x;x;2x gem;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_009;1;Kugel;transparent;PS;1;;Hannah;14.07.2020;199;202
gr500um_ML3_(0-5)_010;1;Kugel;weiß;PS;1;;Hannah;14.07.2020;190;191
gr500um_ML3_(0-5)_011;1;Fragment;rot;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_012;1;Fragment;weiß;PE;1;;Hannah;14.07.2020;918;108
gr500um_ML3_(0-5)_013;1;Faser;rot;x;x;2x gem;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_014;1;Fragment;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_015;1;Faser;weiß;PET;1;;Hannah;14.07.2020;1638;35
gr500um_ML3_(0-5)_016;1;Faser;beige;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_017;1;Fragment;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_018;1;Faser;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_019;1;Faser;weiß;PP;1;;Hannah;14.07.2020;1483;28
gr500um_ML3_(0-5)_020;1;Fragment;weiß;PE;1;;Hannah;14.07.2020;1045;605
gr500um_ML3_(0-5)_021;1;Kugel;weiß;PS;1;;Hannah;14.07.2020;297;313
gr500um_ML3_(0-5)_022;1;Fragment;beige;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_023;1;Fragment;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_024;1;Faser;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_025;1;Fragment;grau;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_026;1;Faser;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_027;1;Faser;blau;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_028;1;Faser;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_029;1;Faser;rot;x;x;2x gem;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_030;1;Kugel;weiß;PS;1;;Hannah;14.07.2020;413;416
gr500um_ML3_(0-5)_031;0;Faser;weiß;x;x;verloren;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_032;1;Faser;blau;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_033;1;Faser;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_034;1;Faser;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_035;1;Kugel;weiß;PS;1;;Hannah;14.07.2020;154;156
gr500um_ML3_(0-5)_036;1;Faser;blau;x;x;2x gem;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_037;1;Fragment;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_038;1;Fragment;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_039;1;Fragment;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_040;1;Fragment;beige;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_041;1;Fragment;rot;PP;1;2x gem;Hannah;14.07.2020;672;403
gr500um_ML3_(0-5)_042;0;Kugel;weiß;x;x;verloren;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_043;1;Fragment;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_044;1;Fragment;beige;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_045;1;Kugel;weiß;PS;1;;Hannah;14.07.2020;394;402
gr500um_ML3_(0-5)_046;1;Fragment;blau;x;x;2x gem;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_047;1;Faser;weiß;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_048;1;Faser;rot;x;x;2x gem;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_049;1;Kugel;weiß;PS;1;;Hannah;14.07.2020;152;153
gr500um_ML3_(0-5)_050;1;Fragment;beige;x;x;;Hannah;14.07.2020;;
gr500um_ML3_(0-5)_051;1;Fragment;rot;PA;1;;Hannah;14.07.2020;1283;44
gr500um_ML3_(0-5)_052;1;Fragment;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_053;1;Faser;rot;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_054;1;Faser;blau;x;x;2x gem;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_055;1;Kugel;weiß;PS;1;;Hannah;15.07.2020;175;183
gr500um_ML3_(0-5)_056;1;Fragment;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_057;0;Faser;weiß;x;x;verloren;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_058;1;Fragment;blau;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_059;1;Kugel;weiß;PS;1;;Hannah;15.07.2020;142;152
gr500um_ML3_(0-5)_060;1;Faser;weiß;x;x;2x gem;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_061;1;Fragment;weiß;PE;1;;Hannah;15.07.2020;266;140
gr500um_ML3_(0-5)_062;1;Faser;blau;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_063;1;Faser;weiß;PE;1;;Hannah;15.07.2020;1541;27
gr500um_ML3_(0-5)_064;1;Fragment;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_065;1;Faser;lila;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_066;1;Faser;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_067;1;Faser;rot;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_068;1;Faser;blau;x;x;2x gem;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_069;1;Faser;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_070;1;Fragment;blau;PE;1;;Hannah;15.07.2020;986;387
gr500um_ML3_(0-5)_071;1;Fragment;beige;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_072;1;Faser;weiß;PA;1;;Hannah;15.07.2020;1720;37
gr500um_ML3_(0-5)_073;1;Faser;blau;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_074;1;Faser;blau;x;x;2x gem;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_075;1;Fragment;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_076;1;Faser;rot;x;x;2x gem;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_077;0;Faser;blau;x;x;verloren;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_078;1;Faser;blau;x;x;2x gem;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_079;1;Faser;blau;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_080;1;Faser;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_081;1;Faser;blau;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_082;1;Faser;beige;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_083;1;Fragment;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_084;1;Faser;weiß;PET;1;;Hannah;15.07.2020;506;231
gr500um_ML3_(0-5)_085;1;Faser;weiß;x;x;;Hannah;15.07.2020;;
gr500um_ML3_(0-5)_086;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_087;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_088;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_089;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_090;1;Fragment;beige;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_091;1;Fragment;weiß;PE;1;;Hannah;17.07.2020;689;493
gr500um_ML3_(0-5)_092;1;Fragment;blau;PE;1;;Hannah;17.07.2020;1536;212
gr500um_ML3_(0-5)_093;1;Fragment;weiß;PP;1;;Hannah;17.07.2020;855;288
gr500um_ML3_(0-5)_094;1;Fragment;weiß;PE;1;;Hannah;17.07.2020;311;306
gr500um_ML3_(0-5)_095;1;Kugel;weiß;PS;1;;Hannah;17.07.2020;230;235
gr500um_ML3_(0-5)_096;1;Fragment;braun;PE;1;;Hannah;17.07.2020;869;721
gr500um_ML3_(0-5)_097;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_098;1;Fragment;weiß;PE;1;;Hannah;17.07.2020;533;234
gr500um_ML3_(0-5)_099;1;Faser;weiß;PET;1;;Hannah;17.07.2020;1370;74
gr500um_ML3_(0-5)_100;1;Fragment;weiß;PP;1;2x gem;Hannah;17.07.2020;287;254
gr500um_ML3_(0-5)_101;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_102;1;Faser;weiß;PET;1;;Hannah;17.07.2020;1557;36
gr500um_ML3_(0-5)_103;1;Faser;schwarz;x;x;2x gem;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_104;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_105;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
gr500um_ML3_(0-5)_106;1;Faser;weiß;x;x;;Hannah;17.07.2020;;
