Data ID:;D:\mrolf2\ausgewertet - Copy\ML-2_5-20_1-64_1v5\ML-2_5-20_1-64_1v5.ilab
Date of Export:;2021-02-06 19:07:34
Classes:;24
Particles on File:;28484

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;0
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;7
;6;PVC;PVC;1
;7;PE;PE;33
;8;PP;PP;9
;9;POM;POM;1
;10;ABS;ABS;3
;11;PAN;PAN;0
;12;PS;PS;18
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;22619
;22;Non-Polymer;Non-Polymer;5790
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;75

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;Plastik ja/nein;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;3;PA;442;893;442;442;893;893;443,000000000000;894,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34000036345679;0,67732412908398;;"";"";"";"";"";""
;00002;1564;190968,309999912;5;PMMA;62;417;62;126;394;431;92,0000000000000;415,000000000000;0,99630895772302;8,58397388211327E-02;64,9354527719152;37,6059122192881;1,72673521102913;4,92431485921908;0,94720000000000;0,68799946834193;OK;"ja";"Fragment";"grau";"746";"419";""
;00003;1;122,102499999944;5;PMMA;66;407;66;66;407;407;67,0000000000000;408,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33193852211149;0,61163164226747;;"";"";"";"";"";""
;00004;28;3418,86999999842;5;PMMA;197;679;197;202;677;684;201,000000000000;681,000000000000;0,20527067740571;0,97870524112084;7,64566601044021;6,71460891522705;1,13866140336212;78,1546552985863;0,50038840656909;0,64427622713078;OK;"ja";"Kugel";"grau";"118";"118";""
;00005;3;366,307499999831;5;PMMA;415;716;415;416;716;717;416,000000000000;717,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,15301731257736;0,53889847490262;;"";"";"";"";"";""
;00006;6;732,614999999662;5;PMMA;677;781;677;679;781;783;679,000000000000;783,000000000000;0,60000000000000;0,80000000000000;3,80000000000018;2,40000000000003;1,58333333333339;53,1301023541560;0,37402226943362;0,44801319891296;;"";"";"";"";"";""
;00007;2;244,204999999887;5;PMMA;679;780;679;680;780;780;680,000000000000;781,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,50268858636235;0,54837985892199;;"";"";"";"";"";""
;00008;1;122,102499999944;5;PMMA;681;781;681;681;781;781;682,000000000000;782,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39831286349959;0,34721628802158;OK;"ja";"Kugel";"grau";"104";"104";""
;00009;1;122,102499999944;6;PVC;1052;632;1052;1052;632;632;1053,00000000000;633,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43008000000000;0,16142236808923;;"";"";"";"";"";""
;00010;21;2564,15249999882;7;PE;138;410;138;142;410;416;141,000000000000;414,000000000000;0,56268327707595;0,82667256498511;7,64808522113856;4,90407823827405;1,55953572711153;55,7584318949006;0,52622222222222;0,95977452821816;OK;"ja";"Fragment";"grau";"977";"156";""
;00011;2;244,204999999887;7;PE;142;417;142;143;417;417;144,000000000000;418,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,49493333333333;0,53728274303398;;"";"";"";"";"";""
;00012;17;2075,74249999904;7;PE;144;410;144;151;410;414;149,000000000000;413,000000000000;0,88729300744820;0,46120615665181;8,59466952209277;4,15820448485181;2,06691843881244;27,4649660096453;0,81564444444444;0,81643513069421;;"";"";"";"";"";""
;00013;1;122,102499999944;7;PE;144;413;144;144;413;413;145,000000000000;414,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46933333333333;0,82810169171197;;"";"";"";"";"";""
;00014;1;122,102499999944;7;PE;144;416;144;144;416;416;145,000000000000;417,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50534874074074;0,65405420495859;;"";"";"";"";"";""
;00015;326;39805,4149999817;7;PE;145;453;145;177;425;454;162,000000000000;443,000000000000;0,78622757180910;-0,61793705612074;39,8669630416031;15,7674178528941;2,52843955894056;141,834356612231;0,50613333333333;0,80942057261120;;"";"";"";"";"";""
;00016;7;854,717499999606;7;PE;161;422;161;164;422;424;164,000000000000;424,000000000000;0,85749292571254;0,51449575542753;4,08697453256519;2,71498585142513;1,50533916426116;30,9637565320735;0,52306488888889;0,90402231152409;;"";"";"";"";"";""
;00017;32;3907,27999999820;7;PE;184;407;184;188;407;414;187,000000000000;411,000000000000;-0,12092482405053;0,99266166790521;8,31140614748807;5,57527079187344;1,49076277328141;96,9454797950401;0,78330867358025;0,81011836711602;OK;"ja";"Fragment";"grau";"171";"70";""
;00018;135;16483,8374999924;7;PE;218;697;218;243;697;706;231,000000000000;702,000000000000;0,96479045167031;0,26301974139937;27,2239192229528;8,45414967234535;3,22018420279521;15,2493186511116;0,92000000000000;0,91258496627692;OK;"ja";"Fragment";"grau";"386";"108";""
;00019;1;122,102499999944;7;PE;227;552;227;227;552;552;228,000000000000;553,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49525322587654;0,24511334299856;;"";"";"";"";"";""
;00020;1;122,102499999944;7;PE;233;541;233;233;541;541;234,000000000000;542,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30455232751130;0,41500722432037;;"";"";"";"";"";""
;00021;1;122,102499999944;7;PE;270;713;270;270;713;713;271,000000000000;714,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49631175111111;4,91431448271889E-02;;"";"";"";"";"";""
;00022;21;2564,15249999882;7;PE;289;791;289;293;790;795;292,000000000000;793,000000000000;-3,08835692402686E-02;0,99952298880565;6,05938208250882;5,05985909370315;1,19753968841732;91,7697795842750;0,51772681481481;0,75952672078182;;"";"";"";"";"";""
;00023;2;244,204999999887;7;PE;404;345;404;405;345;345;406,000000000000;346,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,33099377777778;0,22118341293450;;"";"";"";"";"";""
;00024;154;18803,7849999913;7;PE;424;295;406;424;289;300;415,000000000000;295,000000000000;0,99060305045362;-0,13676840436293;18,8308549081652;11,0427989088991;1,70526105415086;172,139109401928;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"263";"160";""
;00025;27;3296,76749999848;7;PE;407;342;407;411;342;349;410,000000000000;347,000000000000;0,30036216312091;0,95382523082865;7,92440003745560;6,01674957579826;1,31705664954557;72,5206432281612;0,72107318992593;0,36421651958488;;"";"";"";"";"";""
;00027;2;244,204999999887;7;PE;470;409;470;471;409;409;472,000000000000;410,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,34099200000000;0,24997005237332;;"";"";"";"";"";""
;00028;4;488,409999999775;7;PE;562;702;562;563;702;703;564,000000000000;704,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,55931107555556;0,44237972619192;;"";"";"";"";"";""
;00029;38;4639,89499999786;7;PE;564;704;564;568;704;715;567,000000000000;710,000000000000;0,15942213716537;0,98721050550611;12,3375819720633;4,78941988485906;2,57600758936724;80,8266434019270;0,94720000000000;0,79539442780424;;"";"";"";"";"";""
;00030;1;122,102499999944;7;PE;565;719;565;565;719;719;566,000000000000;720,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50400000000000;0,77002695937912;;"";"";"";"";"";""
;00031;2;244,204999999887;7;PE;566;703;566;567;703;703;568,000000000000;704,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,25122133333333;0,26838655516287;;"";"";"";"";"";""
;00032;1;122,102499999944;7;PE;569;708;569;569;708;708;570,000000000000;709,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43693985185185;0,38454910421451;OK;"ja";"Fragment";"transparent";"235";"75";""
;00033;4;488,409999999775;7;PE;571;314;571;573;314;315;573,000000000000;315,000000000000;0,94868329805051;0,31622776601684;3,21359436211787;1,94868329805053;1,64911064067351;18,4349488229220;0,55751111111111;0,69293827443521;OK;"ja";"Fragment";"transparent";"59";"41";""
;00034;1;122,102499999944;7;PE;594;732;594;594;732;732;595,000000000000;733,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42248501475556;0,34711235424622;;"";"";"";"";"";""
;00035;74;9035,58499999584;7;PE;597;553;597;610;548;557;605,000000000000;554,000000000000;0,96648706584198;0,25671531228224;14,0777624805103;9,18495296801325;1,53269837412737;14,8752492651049;0,59766371028807;0,64075338869838;;"";"";"";"";"";""
;00036;76;9279,78999999572;7;PE;608;535;608;619;532;541;614,000000000000;538,000000000000;0,97928700511907;-0,20247706439232;12,5820653138791;10,6234913036408;1,18436255598638;168,318151478875;0,64533333333333;0,76756002606982;;"";"";"";"";"";""
;00037;5;610,512499999719;7;PE;609;549;609;611;548;549;611,000000000000;550,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;2,26491106406729;1,41886116991585;161,565051177078;0,56213333333333;0,52351684265427;;"";"";"";"";"";""
;00038;1;122,102499999944;7;PE;613;549;613;613;549;549;614,000000000000;550,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,69422222222222;0,29445548695977;;"";"";"";"";"";""
;00039;41;5006,20249999769;7;PE;614;552;614;621;548;556;618,000000000000;553,000000000000;0,77943205982048;-0,62648676292799;11,4679185221673;6,62367529099390;1,73135276388926;141,208604709212;0,77354666666667;0,77434977021660;;"";"";"";"";"";""
;00040;4;488,409999999775;7;PE;696;369;696;697;369;370;698,000000000000;370,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,62222222222222;0,93633248380967;OK;"ja";"Fragment";"transparent";"51";"29";""
;00041;59;7204,04749999668;7;PE;769;389;769;777;382;397;775,000000000000;389,000000000000;-1,40280262767905E-02;0,99990160239835;16,0406081148055;8,92907268780277;1,79644725445199;90,8037730638456;0,63644507654321;0,65921446420666;;"";"";"";"";"";""
;00042;1;122,102499999944;7;PE;776;398;776;776;398;398;777,000000000000;399,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57692444444444;0,26970959821096;OK;"ja";"Fragment";"grau";"292";"91";"siehe Collection"
;00043;1;122,102499999944;7;PE;957;348;957;957;348;348;958,000000000000;349,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54377465679012;0,44073319889822;;"";"";"";"";"";""
;00044;4;488,409999999775;8;PP;382;577;382;383;577;578;384,000000000000;578,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,68116309333333;0,90054390164748;OK;"ja";"Fragment";"grau";"63";"43";""
;00045;2;244,204999999887;8;PP;473;408;473;474;408;408;474,000000000000;409,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,71961941333333;0,69706195353393;;"";"";"";"";"";""
;00046;28;3418,86999999842;8;PP;474;572;474;482;571;575;479,000000000000;574,000000000000;0,94674393349852;0,32198745997903;9,53991384792528;5,43095065395210;1,75658267875866;18,7831607026361;0,77880888888889;0,92758957186144;OK;"ja";"Fragment";"grau";"117";"79";""
;00047;24;2930,45999999865;8;PP;540;706;534;540;705;710;538,000000000000;709,000000000000;0,77042589127378;-0,63752956484778;8,17267360703380;4,08170356509515;2,00227024738463;140,392148933781;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"98";"49";""
;00049;7;854,717499999606;8;PP;644;128;644;646;128;130;646,000000000000;130,000000000000;0,86187091004936;-0,50712772987748;3,73799727985374;2,87612636980430;1,29966378358684;149,527302049539;0,44925111308642;0,78453085710191;OK;"ja";"Fragment";"grau";"68";"53";""
;00050;23;2808,35749999871;8;PP;664;851;659;664;846;851;663,000000000000;849,000000000000;0,62624849765184;0,77962351118268;7,40311154652090;4,59136752885172;1,61239794026517;51,2261173558113;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"85";"69";""
;00052;1;122,102499999944;8;PP;808;886;808;808;886;886;809,000000000000;887,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46518044444444;0,67144941268811;;"";"";"";"";"";""
;00053;15;1831,53749999916;8;PP;853;229;853;856;229;233;855,000000000000;232,000000000000;-0,36820641487216;0,92974407018652;5,45538911049039;4,15743862543172;1,31219955410019;111,605044695877;0,87040000000000;0,87190460239432;OK;"ja";"Fragment";"grau";"84";"57";""
;00054;1;122,102499999944;8;PP;891;271;891;891;271;271;892,000000000000;272,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47507342222222;4,04175077688201E-02;;"";"";"";"";"";""
;00055;107;13064,9674999940;9;POM;839;649;839;851;643;655;846,000000000000;650,000000000000;0,78536093534609;-0,61903812583097;13,3531990437926;10,5444009214386;1,26637816062581;141,754072699825;0,80142222222222;0,85508998295648;OK;"ja";"Fragment";"weiﬂ";"154";"129";""
;00056;3;366,307499999831;10;ABS;464;479;464;465;479;480;466,000000000000;480,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,48127613998354;0,81539281738113;;"";"";"";"";"";""
;00057;1;122,102499999944;10;ABS;464;481;464;464;481;481;465,000000000000;482,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36352512000000;0,88937791720788;OK;"ja";"Fragment";"grau";"64";"45";""
;00058;3;366,307499999831;10;ABS;510;495;510;511;495;496;511,000000000000;496,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,46293423568135;0,63390439439347;OK;"ja";"Kugel";"grau";"91";"91";""
;00059;7;854,717499999606;12;PS;221;426;221;223;425;427;223,000000000000;427,000000000000;0,70710678118655;-0,70710678118655;3,82842712474621;2,41421356237311;1,58578643762690;135,000000000000;0,44800000000000;0,64331387132894;OK;"ja";"Kugel";"grau";"73";"73";""
;00060;7;854,717499999606;12;PS;436;408;436;439;406;408;439,000000000000;408,000000000000;0,85749292571254;-0,51449575542753;4,08697453256517;2,71498585142501;1,50533916426122;149,036243467926;0,81099965629630;0,71291736145856;OK;"ja";"Kugel";"grau";"60";"60";""
;00061;24;2930,45999999865;12;PS;439;401;439;443;399;404;442,000000000000;402,000000000000;-0,56989579765872;0,82171697062367;7,38816804375318;5,17483830484719;1,42770993188962;124,742959727587;0,79916176118519;0,79080811707737;OK;"ja";"Kugel";"grau";"101";"101";""
;00062;2;244,204999999887;12;PS;442;894;442;443;894;894;444,000000000000;895,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,39582405511255;0,26989848189499;OK;"ja";"Fragment";"grau";"44";"36";""
;00063;2;244,204999999887;12;PS;494;78;494;494;78;79;495,000000000000;80,0000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,47583585975309;0,44352535674149;OK;"ja";"Kugel";"grau";"32";"32";""
;00064;9;1098,92249999949;12;PS;502;486;502;505;485;487;504,000000000000;487,000000000000;0,81124218517556;-0,58471028466376;4,60314712485422;3,20719465501497;1,43525654660731;144,217474411461;0,67531851851852;0,68499292179015;OK;"ja";"Kugel";"grau";"53";"53";""
;00065;93;11355,5324999948;12;PS;524;433;524;535;427;437;531,000000000000;433,000000000000;0,72142003771388;-0,69249774670024;13,0616846040405;10,2627713262258;1,27272489942968;136,171846169530;0,83640566518519;0,75735660588001;OK;"ja";"Kugel";"grau";"188";"188";""
;00066;360;43956,8999999797;12;PS;526;568;503;526;559;578;515,000000000000;569,000000000000;0,90135182520110;-0,43308762070354;27,3612310487712;19,3897709571376;1,41111677436804;154,336331495320;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"344";"221";""
;00067;47;5738,81749999736;12;PS;559;437;559;566;436;442;563,000000000000;440,000000000000;0,96892301924402;-0,24736245224174;8,77191094367510;7,80298792443114;1,12417333316770;165,678509588813;0,89752013179259;0,75642148382682;OK;"ja";"Kugel";"grau";"142";"142";""
;00068;43;5250,40749999758;12;PS;587;501;587;595;498;504;592,000000000000;502,000000000000;0,85892582854157;-0,51210001080276;8,89560664993803;6,83092917511613;1,30225426466771;149,196188080871;0,82637424371990;0,76049431443363;OK;"ja";"Kugel";"grau";"115";"115";""
;00069;59;7204,04749999668;12;PS;602;460;602;611;456;463;607,000000000000;460,000000000000;0,89591552934608;-0,44422445258736;10,3959131218767;8,59661543901325;1,20930303276076;153,626269861258;0,92194133333333;0,78085522042640;OK;"ja";"Kugel";"grau";"142";"142";""
;00070;52;6349,32999999707;12;PS;682;826;682;691;822;830;688,000000000000;827,000000000000;0,98550475451278;-0,16964780821663;10,0391905988316;9,05368584431881;1,10885122053702;170,232657479642;0,85791762962963;0,73240366256335;OK;"ja";"Kugel";"grau";"146";"146";""
;00071;1;122,102499999944;12;PS;755;378;755;755;378;378;756,000000000000;379,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43498444908615;0,28579759675976;;"";"";"";"";"";""
;00072;108;13187,0699999939;12;PS;756;381;756;770;372;384;764,000000000000;379,000000000000;0,79144870855828;-0,61123558610525;15,7476954364474;10,8187900626448;1,45558748670253;142,321102396456;0,72901657283951;0,66879494278308;;"";"";"";"";"";""
;00073;1;122,102499999944;12;PS;759;374;759;759;374;374;760,000000000000;375,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39055398070549;0,44759640946311;OK;"ja";"Kugel";"grau";"273";"273";""
;00074;15;1831,53749999916;12;PS;857;175;857;860;173;177;860,000000000000;176,000000000000;-0,46250319132732;0,88661761656987;5,47147684893415;4,12235604103694;1,32726935627759;117,548752192038;0,94737777777778;0,74693386030122;OK;"ja";"Kugel";"grau";"96";"96";""
;00075;9;1098,92249999949;12;PS;965;762;965;968;762;764;967,000000000000;764,000000000000;0,97821560727180;-0,20759148751785;4,14223830933315;3,16402270206140;1,30916832759589;168,018755512711;1,00000000000000;0,77973423650328;OK;"ja";"Fragment";"";"67";"40";""
;00076;1;122,102499999944;12;PS;987;446;987;987;446;446;988,000000000000;447,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,72874666666667;0,67409699975585;OK;"ja";"Kugel";"grau";"49";"49";""
;00077;3;366,307499999831;13;PBT;616;541;616;618;541;541;618,000000000000;542,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,31484563003466;0,56975148309216;OK;"ja";"Fragment";"";"42";"31";""
;00078;1;122,102499999944;16;EVAc;329;740;329;329;740;740;330,000000000000;741,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48554192592593;0,56462506185402;;"";"";"";"";"";""
