MP identifier,Coordinates [pixels],Coordinates [µm],,,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng],Sampling_Site,Sample_replicate,Sampling_Period
MP_1,[528,1340],[2904,7370],pet,280,8470,152.4,70.7,239688.422,330.77003,Inarijärvi (S8),1,July2021
MP_2,[1354,1955],[7447,10753],pet,99,2994.8,102.3,37.3,44668.258,61.6422,Inarijärvi (S8),1,July2021
MP_3,[1443,1018],[7937,5599],pet,52,1573,58.7,34.1,21477.723,29.63926,Inarijärvi (S8),1,July2021
MP_4,[277,1040],[1524,5720],pe,63,1905.8,95.4,25.4,19379.127,18.41017,Inarijärvi (S8),1,July2021
MP_5,[435,1129],[2393,6210],pe,110,3327.5,93.1,45.5,60574.094,57.54539,Inarijärvi (S8),1,July2021
MP_6,[567,286],[3119,1573],pe,397,12009.3,164.6,92.9,446198.688,423.88875,Inarijärvi (S8),1,July2021
MP_7,[1408,478],[7744,2629],pe,58,1754.5,69,32.4,22706.951,21.5716,Inarijärvi (S8),1,July2021
MP_8,[1451,1598],[7981,8789],pe,49,1482.3,55.8,33.8,20068.783,19.06534,Inarijärvi (S8),1,July2021
MP_9,[1540,901],[8470,4956],pe,632,19118,361,67.4,515627.438,489.84606,Inarijärvi (S8),1,July2021
MP_10,[1954,1742],[10747,9581],pe,291,8802.8,156.3,71.7,252503.047,239.87789,Inarijärvi (S8),1,July2021
MP_11,[1460,1804],[8030,9922],abs,61,1845.3,79.9,29.4,21703.289,22.57142,Inarijärvi (S8),1,July2021
MP_12,[538,322],[2959,1771],pp,430,13007.5,230.6,71.8,373693.813,355.00913,Inarijärvi (S8),1,July2021
MP_13,[2139,741],[11765,4076],pp,119,3599.8,89.9,51,73385.414,69.71614,Inarijärvi (S8),1,July2021
MP_14,[593,1750],[3262,9625],pp,70,2117.5,107.4,25.1,21270.252,20.20674,Inarijärvi (S8),1,July2021
MP_15,[974,1504],[5357,8272],pp,25,756.3,35.1,27.4,8294.039,7.87934,Inarijärvi (S8),1,July2021
MP_16,[1063,2213],[5847,12172],pp,364,11011,157,89.3,393191.656,373.53206,Inarijärvi (S8),1,July2021
MP_17,[1702,580],[9361,3190],pp,10,302.5,28.8,13.4,1616.249,1.53544,Inarijärvi (S8),1,July2021
MP_18,[1758,2020],[9669,11110],pp,23,695.8,40.7,21.8,6054.787,5.75205,Inarijärvi (S8),1,July2021
MP_1,[1235,458],[6793,2519],pet,6,181.5,21.1,11,796.783,1.09956,Vainosjoki (S7),1,July2021
MP_2,[1408,1227],[7744,6749],pet,30,907.5,44.2,26.1,9490.432,13.0968,Vainosjoki (S7),1,July2021
MP_3,[1438,1762],[7909,9691],pet,8,242,25.3,12.2,1177.488,1.62493,Vainosjoki (S7),1,July2021
MP_4,[1549,1961],[8520,10786],pet,41,1240.3,55.8,28.3,14050.653,19.3899,Vainosjoki (S7),1,July2021
MP_5,[2078,839],[11429,4615],pet,10,302.5,25.3,15.2,1839.825,2.53896,Vainosjoki (S7),1,July2021
MP_6,[418,668],[2299,3674],pe,51,1542.8,52.5,37.4,23092.826,21.93819,Vainosjoki (S7),1,July2021
MP_7,[717,1503],[3944,8267],pe,99,2994.8,89.5,42.6,51061.344,48.50828,Vainosjoki (S7),1,July2021
MP_8,[727,878],[3999,4829],pe,225,6806.3,149.8,57.8,157464.359,149.59114,Vainosjoki (S7),1,July2021
MP_9,[902,565],[4961,3108],pe,112,3388,103.1,41.8,56697.656,53.86277,Vainosjoki (S7),1,July2021
MP_10,[999,448],[5495,2464],pe,1961,59320.3,474.4,159.2,3777832.5,3588.94075,Vainosjoki (S7),1,July2021
MP_11,[1050,302],[5775,1661],pe,113,3418.3,135.8,32.1,43822.652,41.63152,Vainosjoki (S7),1,July2021
MP_12,[1200,617],[6600,3394],pe,170,5142.5,147.5,44.4,91330.945,86.7644,Vainosjoki (S7),1,July2021
MP_13,[1321,169],[7266,930],pe,207,6261.8,146.5,54.4,136341.594,129.52452,Vainosjoki (S7),1,July2021
MP_14,[1617,1171],[8894,6441],pe,190,5747.5,175.4,41.7,95930.367,91.13385,Vainosjoki (S7),1,July2021
MP_15,[1621,364],[8916,2002],pe,93,2813.3,91.7,39.1,43978.582,41.77965,Vainosjoki (S7),1,July2021
MP_16,[1721,1876],[9466,10318],pe,143,4325.8,107.3,51.3,88849.617,84.40713,Vainosjoki (S7),1,July2021
MP_17,[1978,738],[10879,4059],pe,617,18664.3,254.1,93.5,698103.688,663.1985,Vainosjoki (S7),1,July2021
MP_18,[2228,1192],[12254,6556],pe,62,1875.5,74.3,32.1,24110.793,22.90525,Vainosjoki (S7),1,July2021
MP_19,[722,1275],[3971,7013],pp,398,12039.5,161.9,94.7,455875.25,433.08147,Vainosjoki (S7),1,July2021
MP_20,[878,1909],[4829,10500],pp,503,15215.8,251.4,77.1,469097.125,445.64225,Vainosjoki (S7),1,July2021
MP_21,[1478,2246],[8129,12353],pp,410,12402.5,209.4,75.4,374087.938,355.38353,Vainosjoki (S7),1,July2021
MP_22,[1583,1695],[8707,9323],pp,31,937.8,46.8,25.5,9567.92,9.08952,Vainosjoki (S7),1,July2021
MP_23,[101,1116],[556,6138],pp,81,2450.3,66,47.3,46334.172,44.01746,Vainosjoki (S7),1,July2021
MP_24,[889,1234],[4890,6787],pp,18,544.5,36.6,18.9,4124.147,3.91794,Vainosjoki (S7),1,July2021
MP_25,[927,1660],[5099,9130],pp,25,756.3,44.4,21.7,6561.562,6.23348,Vainosjoki (S7),1,July2021
MP_26,[1377,1945],[7574,10698],pp,162,4900.5,101.5,61.4,120444.336,114.42212,Vainosjoki (S7),1,July2021
MP_27,[1551,474],[8531,2607],pp,616,18634,209.8,113.1,842917.25,800.77138,Vainosjoki (S7),1,July2021
MP_28,[1589,1876],[8740,10318],pp,121,3660.3,95.8,48.7,71253.352,67.69068,Vainosjoki (S7),1,July2021
MP_29,[1798,535],[9889,2943],pp,96,2904,78.7,47,54596.512,51.86668,Vainosjoki (S7),1,July2021
MP_30,[1901,857],[10456,4714],pp,190,5747.5,120.1,60.9,140120.828,133.11478,Vainosjoki (S7),1,July2021
MP_31,[90,1071],[495,5891],pp,49,1482.3,57.5,32.8,19449.201,18.47674,Vainosjoki (S7),1,July2021
MP_32,[97,1129],[534,6210],pp,77,2329.3,77.4,38.3,35689.938,33.90544,Vainosjoki (S7),1,July2021
MP_33,[249,709],[1370,3900],pp,203,6140.8,143.5,54.5,133787.797,127.09841,Vainosjoki (S7),1,July2021
MP_34,[809,1967],[4450,10819],pp,114,3448.5,93.9,46.8,64505.133,61.27988,Vainosjoki (S7),1,July2021
MP_35,[967,143],[5319,787],pp,533,16123.3,187.1,109.7,707685.625,672.30131,Vainosjoki (S7),1,July2021
MP_36,[1055,2090],[5803,11495],pp,144,4356,122.7,45.2,78740.125,74.80312,Vainosjoki (S7),1,July2021
MP_37,[2153,1229],[11842,6760],pp,33,998.3,41.3,30.7,12276.58,11.66275,Vainosjoki (S7),1,July2021
MP_1,[897,871],[4934,4791],pet,7,211.8,22.9,11.8,997.524,1.37658, Härkälahti (S10),1,Oct2021
MP_2,[722,1252],[3971,6886],pe,226,6836.5,180.6,48.2,131774.984,125.18623, Härkälahti (S10),1,Oct2021
MP_3,[977,2022],[5374,11121],ps,175,5293.8,124.3,54.2,114813.867,119.40641, Härkälahti (S10),1,Oct2021
MP_4,[410,930],[2255,5115],pp,39,1179.8,49.1,30.6,14430.71,13.70917, Härkälahti (S10),1,Oct2021
MP_5,[1165,1217],[6408,6694],pp,44,1331,74.1,22.9,12181.057,11.572, Härkälahti (S10),1,Oct2021
MP_6,[518,326],[2849,1793],pp,31,937.8,49.7,24,9016.532,8.56571, Härkälahti (S10),1,Oct2021
MP_7,[593,1790],[3262,9845],pp,80,2420,104.9,29.4,28438.342,27.01642, Härkälahti (S10),1,Oct2021
MP_8,[1155,1198],[6353,6589],pp,13,393.3,33.5,14.9,2347.928,2.23053, Härkälahti (S10),1,Oct2021
MP_9,[587,2276],[3229,12518],pp,183,5535.8,144.9,48.7,107745.469,102.3582, Härkälahti (S10),1,Oct2021
MP_1,[1766,577],[9713,3174],pa,554,16758.5,266.2,80.2,537321.313,612.54631,Kolttaköngäs (S11),1,Oct2021
MP_2,[805,962],[4428,5291],pet,19,574.8,47.4,15.4,3550.35,4.89948,Kolttaköngäs (S11),1,Oct2021
MP_3,[966,463],[5313,2547],pet,5,151.3,17.8,10.8,654.607,0.90336,Kolttaköngäs (S11),1,Oct2021
MP_4,[1033,252],[5682,1386],pet,52,1573,82.7,24.2,15238.497,21.02913,Kolttaköngäs (S11),1,Oct2021
MP_5,[1935,713],[10643,3922],pet,11,332.8,25.3,16.7,2226.188,3.07214,Kolttaköngäs (S11),1,Oct2021
MP_6,[902,141],[4961,776],ps,66,1996.5,72.3,35.2,28079.678,29.20286,Kolttaköngäs (S11),1,Oct2021
MP_7,[653,1000],[3592,5500],pp,30,907.5,40.7,28.4,10301.149,9.78609,Kolttaköngäs (S11),1,Oct2021
MP_8,[772,1830],[4246,10065],pp,34,1028.5,49.8,26.3,10808.854,10.26841,Kolttaköngäs (S11),1,Oct2021
MP_9,[1441,962],[7926,5291],pp,37,1119.3,49.1,29,12988.589,12.33916,Kolttaköngäs (S11),1,Oct2021
MP_10,[334,562],[1837,3091],pp,174,5263.5,99.5,67.4,141830.859,134.73931,Kolttaköngäs (S11),1,Oct2021
MP_11,[655,1403],[3603,7717],pp,141,4265.3,130.6,41.6,70946.625,67.39929,Kolttaköngäs (S11),1,Oct2021
MP_12,[922,144],[5071,792],pp,210,6352.5,136.8,59.1,150241.797,142.7297,Kolttaköngäs (S11),1,Oct2021
MP_13,[1024,1524],[5632,8382],pp,9,272.3,33,10.5,1143.91,1.08671,Kolttaköngäs (S11),1,Oct2021
MP_14,[1352,421],[7436,2316],pp,582,17605.5,290.8,77.1,542902.75,515.75759,Kolttaköngäs (S11),1,Oct2021
MP_15,[1368,1632],[7524,8976],pp,16,484,37.6,16.4,3175.536,3.01676,Kolttaköngäs (S11),1,Oct2021
MP_16,[1557,1455],[8564,8003],pp,148,4477,281.2,20.3,36302.469,34.48734,Kolttaköngäs (S11),1,Oct2021
MP_17,[1586,1898],[8723,10439],pp,179,5414.8,157.8,43.7,94655.539,89.92276,Kolttaköngäs (S11),1,Oct2021
MP_18,[1689,429],[9290,2360],pp,34,1028.5,44.8,29.2,12031.888,11.43029,Kolttaköngäs (S11),1,Oct2021
MP_19,[1706,1886],[9383,10373],pp,39,1179.8,49.1,30.6,14422.214,13.7011,Kolttaköngäs (S11),1,Oct2021
MP_20,[1823,1236],[10027,6798],pp,70,2117.5,81.2,33.2,28120.488,26.71446,Kolttaköngäs (S11),1,Oct2021
MP_21,[177,666],[974,3663],pp,63,1905.8,84.9,28.6,21783.094,20.69394,Kolttaköngäs (S11),1,Oct2021
MP_22,[769,755],[4230,4153],pp,14,423.5,35.1,15.4,2601.011,2.47096,Kolttaköngäs (S11),1,Oct2021
MP_23,[804,1742],[4422,9581],pp,387,11706.8,160.3,93,435481.219,413.70716,Kolttaköngäs (S11),1,Oct2021
MP_24,[1006,1022],[5533,5621],pp,26,786.5,45,22.3,7006.253,6.65594,Kolttaköngäs (S11),1,Oct2021
MP_25,[1360,1235],[7480,6793],pp,24,726,37.6,24.6,7144.955,6.78771,Kolttaköngäs (S11),1,Oct2021
MP_26,[1412,1005],[7766,5528],pp,57,1724.3,62.3,35.3,24321.658,23.10557,Kolttaköngäs (S11),1,Oct2021
MP_27,[1187,1274],[6529,7007],pp,15,453.8,28.2,20.5,3721.409,3.53534,Kolttaköngäs (S11),1,Oct2021
MP_28,[1251,103],[6881,567],pp,336,10164,238,54.4,221056.625,210.0038,Kolttaköngäs (S11),1,Oct2021
MP_1,[1178,238],[6479,1309],pet,13,393.3,28.2,17.8,2795.192,3.85736,Sollomusjoki (S12),1,Oct2021
MP_2,[1986,1075],[10923,5913],pet,317,9589.3,160.9,75.9,291075.438,401.68409,Sollomusjoki (S12),1,Oct2021
MP_3,[1243,1217],[6837,6694],pet,218,6594.5,409.8,20.5,54044,74.58072,Sollomusjoki (S12),1,Oct2021
MP_4,[1819,1107],[10005,6089],pe,209,6322.3,131.3,61.3,155018.906,147.26795,Sollomusjoki (S12),1,Oct2021
MP_5,[1514,212],[8327,1166],ps,59,1784.8,60.6,37.5,26753.838,27.82399,Sollomusjoki (S12),1,Oct2021
MP_6,[1619,912],[8905,5016],ps,89,2692.3,88.5,38.8,41732.133,43.40142,Sollomusjoki (S12),1,Oct2021
MP_7,[2262,2021],[12441,11116],ps,8,242,22.9,13.5,1302.888,1.355,Sollomusjoki (S12),1,Oct2021
MP_8,[930,605],[5115,3328],pp,65,1966.3,78.8,31.8,25000.217,23.75021,Sollomusjoki (S12),1,Oct2021
MP_9,[1460,370],[8030,2035],pp,81,2450.3,116.4,26.8,26277.369,24.9635,Sollomusjoki (S12),1,Oct2021
MP_10,[1614,1350],[8877,7425],pp,389,11767.3,191.1,78.4,368994.813,350.54506,Sollomusjoki (S12),1,Oct2021
MP_11,[1951,744],[10731,4092],pp,133,4023.3,92.5,55.4,89165.805,84.70752,Sollomusjoki (S12),1,Oct2021
MP_12,[2047,859],[11259,4725],pp,618,18694.5,341.2,69.8,521682.469,495.59834,Sollomusjoki (S12),1,Oct2021
MP_13,[522,1662],[2871,9141],pp,4,121,13.3,11.6,561.568,0.53349,Sollomusjoki (S12),1,Oct2021
MP_14,[932,756],[5126,4158],pp,248,7502,143.5,66.6,199742.297,189.75517,Sollomusjoki (S12),1,Oct2021
MP_15,[1341,697],[7376,3834],pp,101,3055.3,80.6,48.3,59006.551,56.05622,Sollomusjoki (S12),1,Oct2021
MP_16,[1446,731],[7953,4021],pp,44,1331,58.7,28.9,15377.539,14.60866,Sollomusjoki (S12),1,Oct2021
MP_17,[1956,812],[10758,4466],pp,189,5717.3,133.4,54.6,124806.336,118.56602,Sollomusjoki (S12),1,Oct2021
MP_18,[2006,1715],[11033,9433],pp,126,3811.5,110.8,43.8,66766.375,63.42805,Sollomusjoki (S12),1,Oct2021
MP_19,[1143,558],[6287,3069],pp,52,1573,63,31.8,19988.066,18.98866,Sollomusjoki (S12),1,Oct2021
MP_20,[1977,799],[10874,4395],pp,95,2873.8,81.2,45.1,51793.355,49.20369,Sollomusjoki (S12),1,Oct2021
MP_21,[2180,1764],[11990,9702],pmma,54,1633.5,56.8,36.6,23926.627,28.23342,Sollomusjoki (S12),1,Oct2021
MP_1,[1339,1990],[7365,10945],pet,5,151.3,17.8,10.8,654.607,0.90336,Solmupuro (S13),1,Oct2021
MP_2,[1476,794],[8118,4367],pet,7,211.8,22.9,11.8,997.524,1.37658,Solmupuro (S13),1,Oct2021
MP_3,[1637,400],[9004,2200],pet,12,363,30.1,15.4,2229.789,3.07711,Solmupuro (S13),1,Oct2021
MP_4,[1448,126],[7964,693],pe,215,6503.8,128.9,64.3,167189.844,158.83034,Solmupuro (S13),1,Oct2021
MP_5,[1573,1235],[8652,6793],pe,136,4114,127,41.2,67870.758,64.47722,Solmupuro (S13),1,Oct2021
MP_6,[514,356],[2827,1958],ps,25,756.3,42.4,22.7,6870.448,7.14527,Solmupuro (S13),1,Oct2021
MP_7,[309,1127],[1700,6199],pp,308,9317,172.1,68.9,256935.109,244.08834,Solmupuro (S13),1,Oct2021
MP_8,[678,852],[3729,4686],pp,38,1149.5,58.7,24.9,11469.612,10.89613,Solmupuro (S13),1,Oct2021
MP_9,[1298,1301],[7139,7156],pp,117,3539.3,91.3,49.4,69878.727,66.38479,Solmupuro (S13),1,Oct2021
MP_10,[1393,1956],[7662,10758],pp,169,5112.3,113.6,57.3,117123.383,111.26721,Solmupuro (S13),1,Oct2021
MP_11,[1804,329],[9922,1810],pp,5,151.3,17.8,10.8,654.607,0.62188,Solmupuro (S13),1,Oct2021
MP_12,[234,662],[1287,3641],pp,33,998.3,56.9,22.3,8912.754,8.46712,Solmupuro (S13),1,Oct2021
MP_13,[1211,838],[6661,4609],pp,69,2087.3,66.1,40.2,33554.832,31.87709,Solmupuro (S13),1,Oct2021
MP_14,[1352,409],[7436,2250],pp,104,3146,116.3,34.4,43350.855,41.18331,Solmupuro (S13),1,Oct2021
MP_15,[1454,609],[7997,3350],pp,504,15246,222.9,87.1,531208.688,504.64825,Solmupuro (S13),1,Oct2021
MP_16,[1575,1221],[8663,6716],pp,15,453.8,35.1,16.5,2985.854,2.83656,Solmupuro (S13),1,Oct2021
MP_17,[1575,1238],[8663,6809],pp,25,756.3,49.5,19.5,5884.312,5.5901,Solmupuro (S13),1,Oct2021
MP_18,[83,1388],[457,7634],pmma,340,10285,165.1,79.3,326227.719,384.94869,Solmupuro (S13),1,Oct2021
MP_19,[288,826],[1584,4543],pmma,236,7139,175.2,51.9,148154.813,174.82267,Solmupuro (S13),1,Oct2021
MP_20,[297,856],[1634,4708],pmma,41,1240.3,55.2,28.6,14204.467,16.76127,Solmupuro (S13),1,Oct2021
MP_21,[1043,301],[5737,1656],pmma,205,6201.3,111.4,70.9,175829.609,207.47894,Solmupuro (S13),1,Oct2021
MP_1,[1076,1710],[5918,9405],pet,196,5929,142.4,53,125715.297,173.48711,Vainosjoki 2 (S14),1,Oct2021
MP_2,[1105,1789],[6078,9840],pet,145,4386.3,129.2,43.2,75857.891,104.68389,Vainosjoki 2 (S14),1,Oct2021
MP_3,[1492,1090],[8206,5995],pet,124,3751,123.1,38.8,58225.195,80.35077,Vainosjoki 2 (S14),1,Oct2021
MP_4,[1511,1438],[8311,7909],pet,71,2147.8,85.8,31.9,27392.451,37.80158,Vainosjoki 2 (S14),1,Oct2021
MP_5,[1640,1596],[9020,8778],pet,20,605,37.6,20.5,4961.774,6.84725,Vainosjoki 2 (S14),1,Oct2021
MP_6,[1304,1341],[7172,7376],pe,526,15911.5,308.2,65.7,418341.938,397.42484,Vainosjoki 2 (S14),1,Oct2021
MP_7,[1184,2071],[6512,11391],pe,69,2087.3,78.4,33.9,28318.027,26.90213,Vainosjoki 2 (S14),1,Oct2021
MP_8,[1239,1023],[6815,5627],ps,235,7108.8,151.1,59.9,170321.844,177.13472,Vainosjoki 2 (S14),1,Oct2021
MP_9,[911,963],[5011,5297],pp,51,1542.8,64,30.7,18950.182,18.00267,Vainosjoki 2 (S14),1,Oct2021
MP_10,[1528,265],[8404,1458],pp,179,5414.8,117.1,58.9,127526.438,121.15012,Vainosjoki 2 (S14),1,Oct2021
MP_11,[1954,1475],[10747,8113],pp,87,2631.8,110.4,30.4,31962.723,30.36459,Vainosjoki 2 (S14),1,Oct2021
MP_12,[5,905],[28,4978],pp,34,1028.5,63.8,20.5,8440.321,8.01831,Vainosjoki 2 (S14),1,Oct2021
MP_13,[1068,1461],[5874,8036],pp,206,6231.5,129.3,61.4,153010.719,145.36019,Vainosjoki 2 (S14),1,Oct2021
MP_14,[1071,220],[5891,1210],pp,62,1875.5,63.8,37.4,28066.258,26.66295,Vainosjoki 2 (S14),1,Oct2021
MP_15,[1305,1385],[7178,7618],pp,95,2873.8,78.8,46.5,53402.836,50.7327,Vainosjoki 2 (S14),1,Oct2021
MP_16,[1611,300],[8861,1650],pp,172,5203,120.9,54.8,114029.164,108.3277,Vainosjoki 2 (S14),1,Oct2021
MP_17,[1615,1487],[8883,8179],pp,184,5566,109,65,144727.438,137.49106,Vainosjoki 2 (S14),1,Oct2021
MP_18,[1928,507],[10604,2789],pp,600,18150,249.8,92.5,671711.875,638.12625,Vainosjoki 2 (S14),1,Oct2021
MP_19,[1943,1504],[10687,8272],pp,191,5777.8,130.4,56.4,130344.227,123.82702,Vainosjoki 2 (S14),1,Oct2021
MP_20,[2042,1630],[11231,8965],pp,417,12614.3,175.8,91.3,460914.469,437.86875,Vainosjoki 2 (S14),1,Oct2021
MP_21,[2156,950],[11858,5225],pp,291,8802.8,153.1,73.2,257717.891,244.832,Vainosjoki 2 (S14),1,Oct2021
MP_22,[2189,945],[12040,5198],pp,303,9165.8,202.9,57.5,210894.688,200.34995,Vainosjoki 2 (S14),1,Oct2021
MP_23,[2212,1017],[12166,5594],pp,243,7350.8,145.5,64.3,189175.328,179.71656,Vainosjoki 2 (S14),1,Oct2021
MP_24,[272,329],[1496,1810],pp,99,2994.8,206.6,18.5,22112.635,21.007,Vainosjoki 2 (S14),1,Oct2021
MP_25,[867,1612],[4769,8866],pp,23,695.8,45.2,19.6,5458.991,5.18604,Vainosjoki 2 (S14),1,Oct2021
MP_26,[1269,1629],[6980,8960],pp,384,11616,415.8,35.6,165279.016,157.01506,Vainosjoki 2 (S14),1,Oct2021
MP_27,[1297,1490],[7134,8195],pp,69,2087.3,76.6,34.7,28976.406,27.52759,Vainosjoki 2 (S14),1,Oct2021
MP_28,[1369,33],[7530,182],pp,76,2299,78.4,37.4,34352.051,32.63445,Vainosjoki 2 (S14),1,Oct2021
MP_29,[1375,1108],[7563,6094],pp,188,5687,105.9,68.4,155522.094,147.74598,Vainosjoki 2 (S14),1,Oct2021
MP_30,[1434,1573],[7887,8652],pp,93,2813.3,81.2,44.1,49635.535,47.15376,Vainosjoki 2 (S14),1,Oct2021
MP_31,[1480,1100],[8140,6050],pp,111,3357.8,78.5,54.4,73116.219,69.46041,Vainosjoki 2 (S14),1,Oct2021
MP_32,[1497,1463],[8234,8047],pp,110,3327.5,86.1,49.2,65462.363,62.18925,Vainosjoki 2 (S14),1,Oct2021
MP_33,[1609,1886],[8850,10373],pp,139,4204.8,82.9,64.6,108627.859,103.19647,Vainosjoki 2 (S14),1,Oct2021
MP_34,[1661,1343],[9136,7387],pp,137,4144.3,89.3,59.1,97915.664,93.01988,Vainosjoki 2 (S14),1,Oct2021
MP_35,[1725,1389],[9488,7640],pp,98,2964.5,91.2,41.4,49057.48,46.60461,Vainosjoki 2 (S14),1,Oct2021
MP_36,[1721,1770],[9466,9735],pp,24,726,35.1,26.3,7643.787,7.2616,Vainosjoki 2 (S14),1,Oct2021
MP_37,[1804,425],[9922,2338],pp,22,665.5,45.5,18.6,4952.99,4.70534,Vainosjoki 2 (S14),1,Oct2021
MP_38,[1845,1897],[10148,10434],pp,45,1361.3,74.3,23.3,12704.091,12.06889,Vainosjoki 2 (S14),1,Oct2021
MP_39,[1915,542],[10533,2981],pp,181,5475.3,184.7,37.7,82661.898,78.5288,Vainosjoki 2 (S14),1,Oct2021
MP_40,[2220,661],[12210,3636],pp,49,1482.3,56.2,33.6,19907.598,18.91222,Vainosjoki 2 (S14),1,Oct2021
MP_41,[148,569],[814,3130],pp,593,17938.3,190.9,119.6,858436,815.51419,Vainosjoki 2 (S14),1,Oct2021
MP_1,[1765,735],[9708,4043],pa,51,1542.8,103.1,19,11755.475,13.40124,Vainosjoki 1 (S15),1,Oct2021
MP_2,[485,700],[2668,3850],pet,5,151.3,17.8,10.8,654.607,0.90336,Vainosjoki 1 (S15),1,Oct2021
MP_3,[614,1982],[3377,10901],pet,14,423.5,28.2,19.1,3241.761,4.47363,Vainosjoki 1 (S15),1,Oct2021
MP_4,[1373,852],[7552,4686],pet,55,1663.8,90.3,23.5,15619.198,21.55449,Vainosjoki 1 (S15),1,Oct2021
MP_5,[1724,1685],[9482,9268],pet,22,665.5,39,21.8,5790.297,7.99061,Vainosjoki 1 (S15),1,Oct2021
MP_6,[817,423],[4494,2327],pe,165,4991.3,149.3,42.6,84978.703,80.72977,Vainosjoki 1 (S15),1,Oct2021
MP_7,[999,798],[5495,4389],pe,17,514.3,33.5,19.5,4015.097,3.81434,Vainosjoki 1 (S15),1,Oct2021
MP_8,[1900,344],[10450,1892],pe,111,3357.8,110.9,38.5,51774.316,49.1856,Vainosjoki 1 (S15),1,Oct2021
MP_9,[939,1953],[5165,10742],pp,332,10043,133.5,95.8,384825.656,365.58438,Vainosjoki 1 (S15),1,Oct2021
MP_10,[1299,104],[7145,572],pp,53,1603.3,69,29.6,18960.709,18.01267,Vainosjoki 1 (S15),1,Oct2021
MP_11,[1446,690],[7953,3795],pp,545,16486.3,222,94.5,623501.313,592.32625,Vainosjoki 1 (S15),1,Oct2021
MP_12,[997,547],[5484,3009],pp,102,3085.5,106.6,36.8,45469.414,43.19594,Vainosjoki 1 (S15),1,Oct2021
MP_13,[1086,1500],[5973,8250],pp,187,5656.8,172.8,41.7,94291.68,89.57709,Vainosjoki 1 (S15),1,Oct2021
